Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Petromyscus shortridgei,83,16,19,21.6,32.7,8.1,-18.61,Savanna,Terrestrial
Phloeomys cumingi,418,80,1950,26.5,31.7,20.8,13.71,Forest,Arboreal
Phloeomys pallidus,404,85,2450,23.5,29.7,16.7,16.63,Forest,Arboreal
Pithecheir parvus,162,26,100,25.8,30.8,20.5,3.71,Forest,Arboreal
Praomys daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial
Praomys degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial
Praomys delectorum,100,24,29,19.1,27.2,10.2,-9.1,Forest,Scansorial
Praomys derooi,97,21,32,26.7,33.3,18.5,8.05,Savanna,Scansorial
Praomys hartwigi,125,26,57,21.3,27.6,14,6.07,Forest,Scansorial
Praomys misonnei,112,24,35,23.6,28.9,18,0.09,Forest,Scansorial
Praomys morio,114,24,43,19.9,25.3,15,4.02,Forest,Scansorial
Praomys mutoni,114,22,45,24.1,29.5,18.6,0.41,Forest,Scansorial
Praomys obscurus,121,27,47,21.6,28.2,13.9,6.94,Savanna,Scansorial
Praomys rostratus,114,26,50,26,32.6,18.4,7.71,Forest,Scansorial
Praomys tullbergi,118,27,33,25.8,31.9,18.8,6.61,Forest,Scansorial
Praomys verschureni,121,30,51,22.9,28.6,17.1,1.39,Forest,Scansorial
Pseudohydromys carlae,96,21,15,15.4,21.9,9.2,-5.95,Forest,Terrestrial
Pseudohydromys ellermani,96,21,17,17.7,24.1,11.1,-5.58,Forest,Terrestrial
Pseudohydromys fuscus,96,22,19,17.8,24.5,10.7,-6.12,Forest,Terrestrial
Pseudohydromys germani,94,21,26,19.7,25.5,13.4,-9.77,Forest,Terrestrial
Pseudohydromys murinus,91,20,17,16.9,23.5,10.1,-6.53,Forest,Terrestrial
Pseudohydromys patriciae,100,20,22,13.5,19.9,7,-4.13,Forest,Terrestrial
Pseudohydromys pumehanae,99,22,18,21.7,28.9,13.9,-6.57,Forest,Terrestrial
